bin_index,bin_left,bin_right,bin_center,pairs_1_98_normalized,pnimit_normalized,pairs_1_98_count,pnimit_count
24,23.90625,24.90234375,24.404296875,0.0009630337323731576,0.0008980032258745856,111332.0,57269.0
25,24.90234375,25.8984375,25.400390625,0.0009731197573430414,0.000917133364964966,112498.0,58489.0
26,25.8984375,26.89453125,26.396484375,0.0009788893788309594,0.0009406069864553755,113164.99999999999,59986.0
27,26.89453125,27.890625,27.392578125,0.000995757087828621,0.00098662908336543,115115.0,62921.0
28,27.890625,28.88671875,28.388671875,0.0010096059094210602,0.0010113257793222734,116716.00000000001,64495.99999999999
29,28.88671875,29.8828125,29.384765625,0.0010514983784855089,0.0010365242494191926,121559.00000000001,66103.0
30,29.8828125,30.87890625,30.380859375,0.0010371911012126206,0.0010665052542887068,119905.00000000001,68015.0
31,30.87890625,31.875,31.376953125,0.0010646897919323979,0.001107180320518581,123083.99999999999,70609.0
32,31.875,32.87109375,32.373046875,0.001075865730406746,0.0011605095033434857,124376.0,74010.0
33,32.87109375,33.8671875,33.369140625,0.0011083122824325042,0.0012179156010565042,128127.0,77671.0
34,33.8671875,34.86328125,34.365234375,0.0011177408992568381,0.0012794926963089009,129217.0,81598.0
35,34.86328125,35.859375,35.361328125,0.001128397831300489,0.0013370242375569383,130449.0,85267.0
36,35.859375,36.85546875,36.357421875,0.0011516839198244403,0.0013901025333118051,133141.0,88652.0
37,36.85546875,37.8515625,37.353515625,0.0011778850944674745,0.001424803351186405,136170.0,90865.0
38,37.8515625,38.84765625,38.349609375,0.0012071311068372662,0.0014365480021525483,139551.0,91614.0
39,38.84765625,39.84375,39.345703125,0.0012194488594591483,0.0014453917713713798,140975.0,92178.0
40,39.84375,40.83984375,40.341796875,0.0012497674851190475,0.001436014867128718,144480.0,91580.0
41,40.83984375,41.8359375,41.337890625,0.0012852415746572067,0.001446395319651531,148581.0,92242.0
42,41.8359375,42.83203125,42.333984375,0.0013237691520293013,0.0014259009821178201,153035.0,90935.0
43,42.83203125,43.828125,43.330078125,0.0013344606845016652,0.0014081820827964023,154271.0,89805.0
44,43.828125,44.82421875,44.326171875,0.0014122424482488308,0.0013883463238215407,163263.0,88540.0
45,44.82421875,45.8203125,45.322265625,0.0013942675255323484,0.001390917916289428,161185.0,88704.0
46,45.8203125,46.81640625,46.318359375,0.0014089121569851898,0.0013931445390360131,162878.0,88846.0
47,46.81640625,47.8125,47.314453125,0.001451055479157809,0.001410643912171148,167750.0,89962.0
48,47.8125,48.80859375,48.310546875,0.001486140313872945,0.0014335687181958497,171806.0,91424.0
49,48.80859375,49.8046875,49.306640625,0.0016025534562783446,0.0014519775569598716,185264.0,92598.0
50,49.8046875,50.80078125,50.302734375,0.0016006850331278344,0.0014952398960995106,185048.0,95357.0
51,50.80078125,51.796875,51.298828125,0.001639748917144983,0.0015274004823899777,189564.0,97408.0
52,51.796875,52.79296875,52.294921875,0.001671555361239548,0.0015647042536162195,193241.0,99787.0
53,52.79296875,53.7890625,53.291015625,0.001745747330507724,0.0016348428701336553,201818.0,104260.0
54,53.7890625,54.78515625,54.287109375,0.0017706077385381237,0.0017000891887853542,204692.0,108421.0
55,54.78515625,55.78125,55.283203125,0.0018201901528840704,0.0017867236301577737,210424.0,113946.0
56,55.78125,56.77734375,56.279296875,0.0018666152781099418,0.001867054533895494,215791.0,119069.0
57,56.77734375,57.7734375,57.275390625,0.0019259636634601758,0.0019470091070281576,222652.0,124168.0
58,57.7734375,58.76953125,58.271484375,0.001992093732838187,0.0020222909084813678,230296.99999999997,128969.00000000001
59,58.76953125,59.765625,59.267578125,0.0020460185009876348,0.002094389580233473,236531.00000000003,133567.0
60,59.765625,60.76171875,60.263671875,0.0021163265721327595,0.002181086743373402,244659.00000000003,139096.0
61,60.76171875,61.7578125,61.259765625,0.002189757331969246,0.0022797794445495122,253148.0,145390.0
62,61.7578125,62.75390625,62.255859375,0.0022621933294802296,0.002370898492298857,261522.0,151201.0
63,62.75390625,63.75,63.251953125,0.0023243616497705855,0.0024405510151180943,268709.0,155643.0
64,63.75,64.74609375,64.248046875,0.0024010448499061083,0.0025241904920919375,277574.0,160977.0
65,64.74609375,65.7421875,65.244140625,0.002449701702783978,0.002620029352846368,283199.0,167089.0
66,65.7421875,66.73828125,66.240234375,0.0025342045998086736,0.0027117128965032976,292968.0,172936.0
67,66.73828125,67.734375,67.236328125,0.0026045386212753333,0.0028036786881140197,301099.0,178801.0
68,67.734375,68.73046875,68.232421875,0.00269979360152264,0.002871543640559238,312111.0,183129.0
69,68.73046875,69.7265625,69.228515625,0.002746789633822279,0.0029371976506997483,317544.0,187316.0
70,69.7265625,70.72265625,70.224609375,0.002835513783149979,0.0030020049169788812,327801.0,191449.0
71,70.72265625,71.71875,71.220703125,0.00290740482390873,0.0031076910952322944,336112.0,198189.0
72,71.71875,72.71484375,72.216796875,0.0029799013721699616,0.003162447198268039,344493.0,201681.0
73,72.71484375,73.7109375,73.212890625,0.003067405856385523,0.0032222524035882935,354609.0,205495.0
74,73.7109375,74.70703125,74.208984375,0.003132290310329861,0.0032953232627367956,362110.0,210155.0
